Name,SMILES,KOR Inhibitor,lb_prop
CHEMBL10,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,0,"[4.6822000000000035, 104.98109999999998, 0.047619047619047616, 0.0, 0.0, 0.0, 2.0, 4.0, 2.0, 0.0, 3.0, 1.0, 27.0, 6.0, 2.0, 4.0, 4.0, 0.0, 0.0, 21.0, 377.444, 14.517091475212382, 15.333588056140108, 8.318384059809485, 9.876462264534409, 6.0303002895227875, 7.409953100777682, 4.250146855064871, 5.186166992561684, 2.8585331100159954, 3.3778925115909684, 377.0998113520001, -2.9599999999999995, 17.45364097895732, 7.343211502284332, 3.62549169754919, 158.876010653502, 3.0, 1.0, 64.63]"
CHEMBL1006,NCCCNCCSP(=O)(O)O,0,"[-0.2492999999999997, 51.04320000000003, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 4.0, 4.0, 12.0, 7.0, 0.0, 0.0, 7.0, 0.0, 0.0, 0.0, 214.22699999999998, 6.771021542549964, 8.481945314477604, 3.6691785779153347, 6.872270705455512, 2.216029066014674, 6.065236309522559, 1.0959780781627335, 3.375796418794071, 0.5887918604412018, 2.0496174611508717, 214.05409996999998, 0.42, 12.42, 6.884882140897875, 10.42, 76.01187493526038, 4.0, 4.0, 95.58]"
CHEMBL1009,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,0,"[0.052200000000000135, 49.08680000000002, 0.2222222222222222, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 4.0, 4.0, 14.0, 5.0, 0.0, 1.0, 3.0, 0.0, 0.0, 6.0, 197.18999999999997, 7.343747204098415, 7.343747204098415, 3.9967885591797376, 3.9967885591797376, 2.9719215653681355, 2.9719215653681355, 1.812638001675133, 1.812638001675133, 1.037227028910416, 1.037227028910416, 197.068807832, -1.75, 10.331632653061224, 3.972117202268431, 2.366714454376792, 80.41034351633131, 4.0, 4.0, 103.78000000000002]"
CHEMBL101,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,0,"[3.7878000000000025, 90.87100000000005, 0.2631578947368421, 1.0, 1.0, 2.0, 0.0, 2.0, 1.0, 0.0, 2.0, 0.0, 23.0, 4.0, 1.0, 3.0, 5.0, 1.0, 1.0, 17.0, 308.3810000000001, 13.183097076573173, 13.183097076573173, 8.016748027349733, 8.016748027349733, 5.665994834550642, 5.665994834550642, 4.061576545501814, 4.061576545501814, 2.8769817820654917, 2.8769817820654917, 308.15247787999994, -2.6199999999999997, 15.282399930999288, 6.648733236085874, 2.8426561734889986, 135.8501085335373, 2.0, 0.0, 40.620000000000005]"
CHEMBL101168,Nn1nnc2ccccc21,0,"[0.1450999999999994, 37.67840000000001, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 1.0, 0.0, 4.0, 1.0, 10.0, 4.0, 1.0, 2.0, 0.0, 0.0, 0.0, 7.0, 134.14199999999997, 5.228392132448003, 5.228392132448003, 2.9327627544367454, 2.9327627544367454, 2.0227265526965343, 2.0227265526965343, 1.3773697167886851, 1.3773697167886851, 0.8869963174338051, 0.8869963174338051, 134.059246192, -1.5799999999999996, 5.224179570052424, 1.6981221612425348, 0.5558458268345905, 57.21842937479195, 4.0, 1.0, 56.730000000000004]"
CHEMBL1016,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,0,"[4.028600000000002, 122.01299999999999, 0.125, 0.0, 0.0, 0.0, 2.0, 5.0, 1.0, 0.0, 7.0, 2.0, 33.0, 9.0, 2.0, 5.0, 7.0, 0.0, 0.0, 22.0, 440.4630000000001, 17.764844677386456, 17.764844677386456, 10.431793357197023, 10.431793357197023, 7.3843537881313175, 7.3843537881313175, 5.368645467570325, 5.368645467570325, 3.9097021341830134, 3.9097021341830134, 440.15968850000013, -4.529999999999999, 20.376998277247036, 8.54138068507916, 3.8011577516793493, 188.2256647663815, 7.0, 2.0, 118.81]"
CHEMBL1020,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,0,"[2.1916200000000003, 71.36430000000003, 0.2, 0.0, 0.0, 0.0, 1.0, 2.0, 1.0, 0.0, 3.0, 1.0, 19.0, 4.0, 1.0, 2.0, 4.0, 0.0, 0.0, 11.0, 257.289, 10.882132168251946, 10.882132168251946, 5.9654398679691845, 5.9654398679691845, 4.534592999404549, 4.534592999404549, 3.104503130348776, 3.104503130348776, 1.9667248956495886, 1.9667248956495886, 257.10519334, -2.36, 13.080660013060404, 5.098974739644812, 2.731273488562092, 110.84961775743722, 3.0, 1.0, 59.300000000000004]"
CHEMBL1024,O=P1(NCCCl)OCCCN1CCCl,0,"[1.884, 59.19120000000003, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 0.0, 2.0, 1.0, 14.0, 7.0, 1.0, 1.0, 5.0, 1.0, 1.0, 5.0, 261.08899999999994, 7.91660018625193, 10.322885269288756, 4.597961710466701, 7.244517016956578, 2.9469275437115803, 5.883786772984461, 1.9479372157709594, 4.606453214667551, 1.3188483000310376, 3.860556819943667, 260.02481971, 0.69, 12.758073519400952, 6.311144001092418, 3.36838444118429, 94.44153500749827, 2.0, 1.0, 41.57]"
CHEMBL103,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,0,"[4.723500000000005, 90.88100000000006, 0.8095238095238095, 0.0, 4.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 23.0, 2.0, 0.0, 4.0, 1.0, 0.0, 3.0, 17.0, 314.46900000000005, 14.860102176368239, 14.860102176368239, 9.604172488927956, 9.604172488927956, 9.253951929052127, 9.253951929052127, 8.452747118529096, 8.452747118529096, 7.227105087223425, 7.227105087223425, 314.2245802, -0.9200000000000002, 15.598585502468657, 5.036596433775879, 2.056976312427387, 139.6482098695481, 2.0, 0.0, 34.14]"
CHEMBL104,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,0,"[5.376700000000004, 101.84300000000002, 0.045454545454545456, 0.0, 0.0, 0.0, 1.0, 4.0, 1.0, 0.0, 2.0, 0.0, 25.0, 3.0, 1.0, 4.0, 4.0, 0.0, 0.0, 22.0, 344.845, 13.587346240232787, 14.343275186251242, 8.177435400812115, 8.555399873821344, 5.892261019834486, 6.299461146575091, 4.538475267103274, 4.868063488143322, 3.485757822956155, 3.7582400295250897, 344.10802622400007, -2.8399999999999994, 15.673998801944185, 6.577182238233219, 2.5530431664020705, 151.9096739675235, 2.0, 0.0, 17.82]"
